english,platforms,required_age,achievements,average_playtime,median_playtime,price,genres_count,owners_num,developer_num,publisher_num,timestamp,class
1,3,0,0,277,62,3.99,7,8,1243,958,922924800.0,1
1,3,0,0,187,34,3.99,6,8,1243,958,1051747200.0,1
1,3,0,0,258,184,3.99,7,8,1243,958,991353600.0,1
1,3,0,0,175,10,3.99,6,8,1243,958,973036800.0,1
1,3,0,0,361,205,3.99,4,8,508,958,991353600.0,1
1,3,0,0,190,214,0.0,4,5,1243,958,1086048000.0,1
1,3,0,0,102,81,0.0,5,8,1243,958,1146441600.0,1
1,3,0,44,232,258,3.99,6,7,1206,936,1142294400.0,1
1,3,0,0,65,77,6.99,4,7,610,491,1156291200.0,1
1,3,0,22,80,119,7.19,5,7,610,491,1159488000.0,1
1,3,0,0,484,422,6.99,10,2,954,925,1241049600.0,1
1,1,0,0,634,700,4.29,6,2,74,943,1161734400.0,1
1,1,0,0,123,103,12.99,6,4,1319,1024,1186099200.0,1
1,1,18,0,36,32,12.99,6,4,950,125,1312416000.0,1
1,1,0,0,69,110,2.99,5,4,1319,126,1186099200.0,1
1,1,0,0,125,179,3.99,5,7,1319,1024,1186099200.0,1
1,1,0,0,90,78,3.99,6,7,1319,1024,1186099200.0,1
1,1,0,0,167,189,3.99,7,4,1319,1024,1186099200.0,1
1,1,0,0,291,349,3.99,7,4,1319,1024,1186099200.0,1
1,2,0,0,186,258,3.99,6,7,473,375,1147046400.0,1
1,1,0,0,0,0,2.99,4,4,143,152,1194393600.0,1
1,1,0,0,545,849,14.99,5,4,603,44,1160697600.0,1
1,2,0,0,750,1041,14.99,5,4,604,46,1160697600.0,1
1,3,0,33,972,1273,15.99,10,7,393,313,1224115200.0,1
1,2,0,0,214,254,4.25,4,4,912,712,1173139200.0,1
1,1,0,0,262,371,5.59,5,7,956,740,1247702400.0,1
1,1,0,0,287,318,6.99,4,4,400,740,1245628800.0,1
1,1,0,0,20,24,3.99,5,4,956,740,1263513600.0,1
1,2,0,0,49,64,9.99,6,2,433,12,1161734400.0,1
1,1,0,0,1166,13,2.99,6,5,433,12,1161734400.0,1
1,1,0,0,296,436,5.99,4,7,433,12,1121040000.0,1
1,1,16,0,309,340,9.99,7,2,969,777,1186444800.0,1
1,1,16,0,543,620,9.99,6,2,969,777,1186444800.0,1
1,1,18,0,312,312,9.99,4,4,796,777,1351468800.0,1
